order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
14,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$15/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$15/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-14,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n14,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
15,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$16/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$16/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-15,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n15,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
16,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$17/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$17/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-16,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n16,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
17,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$18/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$18/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-17,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n17,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
18,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$19/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$19/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-18,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n18,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
19,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$20/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$20/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-19,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n19,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
20,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$21/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$21/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-20,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n20,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
21,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$22/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$22/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-21,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n21,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
22,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$23/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$23/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-22,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n22,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
23,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$24/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$24/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-23,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n23,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
