key,name,description,cover_image_url,external_url,retire_count
only_one_group,Emigrant Savings Bank Bond and Mortgage Record Books,Complete set of records spanning 1871-19..,http://images.nypl.org/index.php?id=5265257&t=w,http://digitalcollections.nypl.org/collections/emigrant-savings-bank-records,2
nyc_marriage_index_brooklyn_1919,NYC Marriage Index - Brooklyn 1919,NYC Marriage Index - Brooklyn 1919,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$433/full/100,100/0/default.jpg",http://archive.org/stream/NYC_Marriage_Index_Brooklyn_1919,2

