order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
1153,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1154/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1154/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1153,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1153,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1154,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1155/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1155/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1154,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1154,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1155,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1156/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1156/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1155,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1155,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1156,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1157/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1157/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1156,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1156,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1157,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1158/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1158/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1157,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1157,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1158,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1159/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1159/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1158,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1158,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1159,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1160/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1160/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1159,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1159,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1160,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1161/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1161/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1160,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1160,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1161,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1162/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1162/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1161,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1161,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1162,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1163/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1163/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1162,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1162,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
